isbn,book_id,publisher_id,publication_date,format,print_run_size,pages,price
989-28-79-70597-8,TT359,ESP,2008-06-02,Hardcover,15,277,27.99
989-28-654-6930-3,NP937,PP,2008-08-18,Hardcover,6,394,30.99
989-28-79-52883-6,PA169,PP,2008-09-08,Hardcover,10,384,27.99
989-28-79-43574-5,TM925,ESP,2008-09-15,Graphic,8,187,23.99
989-28-654-5794-2,HS107,PP,2008-09-29,Hardcover,3,640,26.99
989-28-79-44730-4,DR914,ESP,2009-01-05,Mass market paperback,4,575,8.99
989-28-654-5771-3,HS107,PP,2009-01-12,Trade paperback,5,631,15.99
989-28-79-04510-4,TT359,ESP,2009-02-16,Mass market paperback,25,264,8.99
989-28-79-18127-7,AY135,ESP,2009-04-24,Hardcover,15,704,27.99
989-28-79-68089-3,BB194,ESP,2009-05-18,Hardcover,10,401,21.5
989-28-79-22871-2,TI225,ESP,2009-07-13,Mass market paperback,15,452,8.99
989-28-79-01991-4,PA169,PP,2009-09-07,Trade paperback,16,356,12.5
989-28-654-0047-4,NP937,PP,2010-04-18,Trade paperback,6,371,15.99
989-28-79-67891-3,SS361,ESP,2010-07-25,Hardcover,14,105,27.99
989-28-654-2620-7,NC652,PP,2010-09-12,Hardcover,4,390,32.99
989-28-3705-054-6,HP265,CHP,2011-03-06,Paperback,18,28,7.99
989-28-79-45675-7,SS361,ESP,2011-07-03,Trade paperback,20,105,12.5
989-28-79-82749-6,NR695,ESP,2011-07-10,Hardcover,5,384,22.99
989-28-79-30536-9,NB483,ESP,2011-07-26,Mass market paperback,22,311,8.99
989-28-229-1404-4,TS869,SSC,2011-12-11,Mass market paperback,11,381,9.5
989-28-229-7592-2,MW621,SSC,2012-03-05,Mass market paperback,13,362,9.5
989-28-3705-222-9,AK974,CHP,2012-07-23,Trade paperback,35,256,11.99
989-28-79-69807-2,NR695,ESP,2012-09-24,Mass market paperback,12,414,8.99
989-28-79-42728-3,IA439,ESP,2012-11-05,Hardcover,20,493,27.99
989-28-654-7965-4,WO506,PP,2012-12-17,Hardcover,3,288,29.99
989-28-79-87459-9,TH556,ESP,2012-12-21,Graphic,3,88,23.99
989-28-229-6632-6,WG715,SSC,2013-02-14,Mass market paperback,16,423,9.5
989-28-79-32105-5,DY800,ESP,2013-02-25,Mass market paperback,29,390,8.99
989-28-79-71565-6,TM925,ESP,2013-02-25,Hardcover,25,819,21.5
989-28-79-43841-8,QQ737,ESP,2013-04-01,Hardcover,3,373,18.5
989-28-79-61125-5,IA439,ESP,2013-05-27,Trade paperback,40,470,12.5
989-28-654-0127-3,WO506,PP,2013-12-09,Trade paperback,7,295,16.99
